City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,13.38,84,3,1.26,NA,1722721405
1,olonkinbyen,70.9221,-8.7187,5.49,91,90,3.08,SJ,1722721576
2,bethel,41.3712,-73.414,26.47,91,75,1.54,US,1722721342
3,saint-francois,46.4154,3.9054,18.69,83,0,2.57,FR,1722721578
4,grytviken,-54.2811,-36.5092,-4.82,91,100,4.1,GS,1722721580
5,port elizabeth,-33.918,25.5701,15.17,42,87,3.77,ZA,1722721581
6,sandnessjoen,66.0217,12.6316,18.29,78,16,5.31,NO,1722721605
7,tokar,18.4254,37.729,32.92,52,89,3.92,SD,1722721606
8,laojunmiao,39.8333,97.7333,21.65,21,81,2.67,CN,1722721608
9,albany,42.6001,-73.9662,27.87,69,63,3.26,US,1722721058
10,dudinka,69.4058,86.1778,10.59,74,21,4.56,RU,1722721610
11,klyuchi,52.2667,79.1667,17.54,88,64,3.43,RU,1722721611
12,waitangi,-43.9535,-176.5597,9.9,79,68,2.68,NZ,1722721612
13,puerto natales,-51.7236,-72.4875,1.65,99,100,0.88,CL,1722721613
14,tolanaro,-25.0319,46.9987,18.04,88,20,3.09,MG,1722721614
15,colonia,50.9333,6.95,20.81,83,75,1.03,DE,1722721370
16,puerto baquerizo moreno,-0.9,-89.6,23.55,88,20,5.66,EC,1722721617
17,ulladulla,-35.35,150.4667,9.7,66,100,2.25,AU,1722721618
18,invercargill,-46.4,168.35,4.45,88,58,2.68,NZ,1722721620
19,punta del este,-34.9667,-54.95,13.06,96,40,5.81,UY,1722721603
20,afaahiti,-17.75,-149.2833,25.93,70,75,4.43,PF,1722721623
21,jamestown,42.097,-79.2353,24.84,94,100,4.12,US,1722721606
22,thunder bay,48.4001,-89.3168,22.99,60,100,4.63,CA,1722721625
23,mitu,1.1983,-70.1733,26.9,84,88,0.92,CO,1722721626
24,da nang,16.0678,108.2208,24.99,88,20,2.06,VN,1722721627
25,bredasdorp,-34.5322,20.0403,7.57,90,85,2.82,ZA,1722721628
26,punta cana,18.5818,-68.4043,29.87,74,40,4.12,DO,1722721629
27,port alfred,-33.5906,26.891,19.89,33,94,4.45,ZA,1722721631
28,port-aux-francais,-49.35,70.2167,1.9,90,23,11.83,TF,1722721632
29,iqaluit,63.7506,-68.5145,4.85,80,20,8.23,CA,1722721633
30,isafjordur,66.0755,-23.124,7.71,97,99,3.66,IS,1722721634
31,sitka,57.0531,-135.33,17.94,63,40,6.69,US,1722721635
32,adamstown,-25.066,-130.1015,21.0,74,29,7.49,PN,1722721636
